Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_conductor;Coordenada_UTM_X_ED50;Coordenada_UTM_Y_ED50;Longitud;Latitud
2020S005737    ;2;Eixample;9;la Nova Esquerra de l'Eixample;350308;València;0037 0043;Dijous;2020;12;Desembre;3;11;Matí;Altres;428896.72 ;4581683.41;214.960.966.740.742;413.835.354.866.868
2020S003786    ;2;Eixample;9;la Nova Esquerra de l'Eixample;350308;València;0122 0124;Diumenge;2020;8;Agost;23;17;Tarda;Desobeir altres senyals;429151.86 ;4581940.5 ;215.263.074.098.773;413.858.735.147.869
2020S003785    ;2;Eixample;9;la Nova Esquerra de l'Eixample;169409;Corts Catalanes;0521 0521;Diumenge;2020;8;Agost;23;15;Tarda;Canvi de carril sense precaució;429696.6  ;4581720.19;215.917.091.559.408;413.839.370.479.324
2020S006011    ;2;Eixample;9;la Nova Esquerra de l'Eixample;169409;Corts Catalanes;0523 0523;Dimecres;2020;12;Desembre;16;13;Matí;No respectar distàncies;429737.74 ;4581724.85;215.966.235.906.468;413.839.826.130.590
2020S003983    ;2;Eixample;10;Sant Antoni;296508;Sant Antoni;0005 0005;Dijous;2020;9;Setembre;3;18;Tarda;Altres;430106.99 ;4581429.72;216.411.218.420.599;413.813.566.364.416
2020S002282    ;2;Eixample;10;Sant Antoni;296508;Sant Antoni;0013 0013;Dissabte;2020;5;Maig;23;19;Tarda;Manca d'atenció a la conducció;430111.12 ;4581466.82;216.415.729.321.645;413.816.911.430.261
2020S002361    ;2;Eixample;9;la Nova Esquerra de l'Eixample;169409;Corts Catalanes;0401 0401;Divendres;2020;5;Maig;29;21;Tarda;Manca d'atenció a la conducció;429170.59 ;4581128.41;215.294.965.874.346;413.785.609.514.845
2020S001658    ;2;Eixample;10;Sant Antoni;349706;Comte d'Urgell;0055 0055;Dijous;2020;3;Març;5;10;Matí;Manca precaució incorporació circulació;429765.7  ;4581674.79;216.000.252.929.214;413.835.341.807.579
2020S005663    ;2;Eixample;10;Sant Antoni;349706;Comte d'Urgell;0057 0057;Dilluns;2020;11;Novembre;30;21;Tarda;Manca d'atenció a la conducció;429756.73 ;4581684.05;215.989.418.626.215;413.836.167.993.597
2020S002202    ;2;Eixample;10;Sant Antoni;87009;Comte Borrell;0081 0081;Divendres;2020;5;Maig;15;9;Matí;Manca d'atenció a la conducció;429933.23 ;4581333.03;216.204.548.807.585;413.804.706.677.467
2020S000189    ;2;Eixample;9;la Nova Esquerra de l'Eixample;349706;Comte d'Urgell;0125B0125B;Divendres;2020;1;Gener;10;13;Matí;No determinada;429329.27 ;4582120.65;215.473.139.165.317;413.875.116.677.947
2020S005175    ;2;Eixample;9;la Nova Esquerra de l'Eixample;169409;Corts Catalanes;0423 0425;Dimecres;2020;11;Novembre;4;9;Matí;Desobeir altres senyals;429260.06 ;4581256.4 ;215.400.458.100.499;413.797.215.845.080
2020S003248    ;2;Eixample;9;la Nova Esquerra de l'Eixample;169409;Corts Catalanes;0423 0425;Dissabte;2020;7;Juliol;18;13;Matí;Manca d'atenció a la conducció;429260.06 ;4581256.4 ;215.400.458.100.499;413.797.215.845.080
2020S003049    ;2;Eixample;10;Sant Antoni;54509;Calàbria;0007 0009;Dijous;2020;7;Juliol;9;19;Tarda;Altres;429879.77 ;4580991.08;216.144.576.893.738;413.773.861.770.949
2020S001413    ;2;Eixample;10;Sant Antoni;192502;Manso;0018 0018;Dilluns;2020;2;Febrer;24;20;Tarda;Manca precaució efectuar marxa enrera;429805.21 ;4581037.9 ;216.054.878.971.303;413.778.013.691.555
2020S005689    ;2;Eixample;10;Sant Antoni;323203;Sepúlveda;0165B0165B;Dimarts;2020;12;Desembre;1;14;Tarda;Altres;430033.53 ;4581806.07;216.319.026.993.479;413.847.399.139.205
2020S002170    ;2;Eixample;10;Sant Antoni;323203;Sepúlveda;0165B0165B;Dimarts;2020;5;Maig;12;16;Tarda;Manca d'atenció a la conducció;430064.77 ;4581821.61;216.356.207.317.806;413.848.825.939.932
2020S000179    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;349706;Comte d'Urgell;0234 0234;Divendres;2020;1;Gener;10;7;Matí;Manca d'atenció a la conducció;428948.67 ;4582553.96;215.012.881.745.495;413.913.808.052.335
2020S005969    ;2;Eixample;7;la Dreta de l'Eixample;145003;Girona;0125 0125;Dilluns;2020;12;Desembre;14;19;Tarda;Gir indegut o sense precaució;430502.32 ;4583430.74;216.861.007.505.895;413.994.134.210.985
2020S000537    ;2;Eixample;9;la Nova Esquerra de l'Eixample;361406;Viladomat;0209 0209;Dijous;2020;1;Gener;23;11;Matí;No determinada;429069.9  ;4582025.34;215.164.064.001.509;413.866.304.159.995
2020S001198    ;2;Eixample;10;Sant Antoni;537295;Universitat;0001 0001;Diumenge;2020;2;Febrer;16;16;Tarda;No determinada;430188.77 ;4582031.75;216.502.077.001.329;413.867.860.267.976
2020S003358    ;2;Eixample;10;Sant Antoni;192502;Manso;0044 0044;Dijous;2020;7;Juliol;23;19;Tarda;Manca precaució efectuar marxa enrera;429930.96 ;4581144.61;216.204.012.788.916;413.787.734.317.998
2020S003994    ;2;Eixample;7;la Dreta de l'Eixample;191204;Mallorca;0312 0312;Divendres;2020;9;Setembre;4;9;Matí;Gir indegut o sense precaució;430502.32 ;4583430.74;216.861.007.505.895;413.994.134.210.985
2020S003128    ;2;Eixample;7;la Dreta de l'Eixample;191204;Mallorca;0312 0312;Dilluns;2020;7;Juliol;13;17;Tarda;Manca d'atenció a la conducció;430502.32 ;4583430.74;216.861.007.505.895;413.994.134.210.985
