Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2022S003994    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;305100;Sant Joan                                         ;0140 0140;Dijous;2022;6;Juny;30;18;Tarda;No és causa del  vianant;0;1;0;1;1;430473,34;4583878,68;216.711.006.048.325;414.015.994.538.947
2022S001494    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;286504;Sant Antoni Maria Claret / Roger de Flor          ;0316 0316;Diumenge;2022;3;Març;13;14;Tarda;No és causa del  vianant;0;1;0;1;3;430321,69;4584187,34;216.526.045.571.492;414.043.663.090.016
2022S004439    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;286504;Sant Antoni Maria Claret / Roger de Flor          ;0316 0316;Dimecres;2022;7;Juliol;20;11;Matí;No és causa del  vianant;0;1;0;1;2;430321,69;4584187,34;216.526.045.571.492;414.043.663.090.016
2022S004708    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;297001;Sant Joan / Sant Antoni Maria Claret              ;0013 0013;Dimarts;2022;8;Agost;2;9;Matí;No és causa del  vianant;0;1;0;1;2;430228,01;4584092,68;216.415.072.569.099;414.035.056.069.779
2022S005290    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;168202;Gràcia / Joaquim Ruyra                            ;0001 0003;Diumenge;2022;9;Setembre;4;23;Nit;No és causa del  vianant;0;1;0;1;2;430252,06;4584312,28;216.441.309.337.265;414.054.855.568.561
2022S004156    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;297001;Sant Antoni Maria Claret                          ;0031 0031;Divendres;2022;7;Juliol;8;7;Matí;No és causa del  vianant;0;1;0;1;1;430342,38;4584222,91;216.550.386.362.987;414.046.884.703.450
2022S004948    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;76807;Sardenya / Rosselló                               ;0329 0329;Dimecres;2022;8;Agost;17;14;Tarda;No és causa del  vianant;0;1;0;1;2;430888,61;4584181,25;217.204.296.706.236;414.043.604.385.809
2022S003924    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;31300;Bailèn / Indústria                                ;0204 0206;Dimarts;2022;6;Juny;28;7;Matí;No és causa del  vianant;0;1;0;1;1;430226,43;4583904,42;216.415.354.416.311;414.018.098.766.696
2022S004215    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;305100;Sant Joan / Rosselló                              ;0132 0132;Dilluns;2022;7;Juliol;11;3;Nit;No és causa del  vianant;0;0;0;0;1;430505,46;4583808,03;216.750.239.896.234;414.009.659.123.774
2022S006181    ;6;Gràcia;31;la Vila de Gràcia;167505;Joanic                                            ;9999S9999S;Divendres;2022;10;Octubre;14;15;Tarda;No és causa del  vianant;0;1;0;1;2;430088,04;4584270,13;216.245.583.693.408;414.050.916.664.922
2022S004328    ;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;344101;Gràcia / Nogués                                   ;0339 0339;Divendres;2022;7;Juliol;15;16;Tarda;No és causa del  vianant;0;1;0;1;2;430485,84;4584501,8;216.718.795.909.597;414.072.127.658.980
