Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud_WGS84;Latitud_WGS84
2021S002127    ;2;Eixample;7;la Dreta de l'Eixample;176801;Roger de Llúria;0004 0004;Dissabte;2021;4;Abril;24;18;Tarda;No és causa del  vianant;1;0;0;1;1;430968,73;4582586,1;2.173.183.132;41.389.997.595
2021S005536    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0282 0282;Dilluns;2021;10;Octubre;4;16;Tarda;No és causa del  vianant;0;1;0;1;2;430340,32;4582873,92;2.165.634.274;41.392.535.689
2021S002912    ;2;Eixample;7;la Dreta de l'Eixample;176801;Roger de Llúria;0033 0033;Dimarts;2021;6;Juny;1;19;Tarda;No és causa del  vianant;0;0;0;0;2;430709,33;4582820,05;2.170.053.946;41.392.082.394
2021S005123    ;2;Eixample;5;el Fort Pienc;169409;Corts Catalanes;0742 0742;Dimecres;2021;9;Setembre;15;23;Nit;No és causa del  vianant;0;1;0;1;2;431494,37;4583398,01;2.179.377.869;41.397.355.200
2021S004542    ;2;Eixample;5;el Fort Pienc;197302;Marina;0178 0178;Dissabte;2021;8;Agost;14;16;Tarda;No és causa del  vianant;0;1;0;1;2;431696,26;4583593,37;2.181.770.687;41.399.131.934
2021S006041    ;2;Eixample;5;el Fort Pienc;144601;Diagonal;9994 9994;Dimarts;2021;10;Octubre;26;16;Tarda;No és causa del  vianant;0;1;0;1;2;431167,21;4583735,85;2.175.426.179;41.400.370.067
2021S001350    ;2;Eixample;5;el Fort Pienc;144601;Diagonal;9994 9994;Dimecres;2021;3;Març;17;7;Matí;No és causa del  vianant;0;1;0;1;2;431167,21;4583735,85;2.175.426.179;41.400.370.067
2021S003895    ;2;Eixample;5;el Fort Pienc;144601;Diagonal;9994 9994;Dilluns;2021;7;Juliol;12;22;Nit;No és causa del  vianant;0;1;0;1;2;431167,21;4583735,85;2.175.426.179;41.400.370.067
2021S007216    ;2;Eixample;5;el Fort Pienc;144601;Diagonal;9994 9994;Diumenge;2021;12;Desembre;12;19;Tarda;No és causa del  vianant;0;1;0;1;2;431167,21;4583735,85;2.175.426.179;41.400.370.067
2021S001107    ;2;Eixample;6;la Sagrada Família;18505;Aragó;0423 0423;Dijous;2021;3;Març;4;12;Matí;No és causa del  vianant;0;1;0;1;2;431298,84;4583850,09;2.176.987.746;41.401.410.256
2021S006239    ;2;Eixample;5;el Fort Pienc;197302;Marina;0103 0103;Dimecres;2021;11;Novembre;3;11;Matí;No és causa del  vianant;0;1;0;1;2;432070,11;4583120,68;2.186.295.611;41.394.906.237
2021S001207    ;2;Eixample;5;el Fort Pienc;178308;Lepant;0121 0123;Dimecres;2021;3;Març;10;11;Matí;Transitar a peu per la calçada;0;1;0;1;1;432078,36;4583343,34;2.186.369.299;41.396.912.371
2021S006008    ;2;Eixample;5;el Fort Pienc;197302;Marina;0185 0185;Diumenge;2021;10;Octubre;24;19;Tarda;No és causa del  vianant;0;1;0;1;2;431548,31;4583661,89;2.179.993.211;41.399.736.485
2021S004082    ;2;Eixample;6;la Sagrada Família;161407;Indústria;0169 0169;Dimarts;2021;7;Juliol;20;16;Tarda;No és causa del  vianant;0;2;0;2;2;431154,7;4584833,52;2.175.151.609;41.410.255.360
2021S006484    ;2;Eixample;5;el Fort Pienc;169409;Corts Catalanes;0764 0768;Divendres;2021;11;Novembre;12;16;Tarda;No és causa del  vianant;0;1;0;1;2;431596,47;4583505,94;2.180.586.918;41.398.335.990
